video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=d7KSTZttWXM&pp=ygUIYmF5IGFyZWE%3D,/@introvertedmadness,introvertedmadness,Surviving the Bay Area,535K,1 year,you're laughing. a man just paid $3000 for a studio in mountain view and you're laughing instagram: @introverted.madness ...,2024-01-28 01:17:42.783729
/watch?v=mLhjFR7pqzg&pp=ygUIYmF5IGFyZWE%3D,/@NBCBayArea,NBC Bay Area,Detroit Lions fans start arriving to the Bay Area ahead of NFC Championship game,36K,17 hours,"By plane, train or car, Detroit fans are descending on the Bay Area ahead of Sunday's NFC Championship game. Robert Handa ...",2024-01-28 01:17:50.754764
/watch?v=8zE3Vb9kDkI&pp=ygUIYmF5IGFyZWE%3D,/channel/UCTeF-R1aFpUtZiH_gqwRLvw,SLAPSTAR!,"Back To The Bay ft Yo Gotti, YG, Drake, G Eazy, E-40, Tyga, P-Lo, YBN Nahmir [OFFICIAL MUSIC VIDEO]",6.6M,4 years,"Instrumental Produced by SLAPSTAR! Back to the Bay feat. Yo Gotti, YG, Drake, G Eazy, E-40, Tyga, YBN Nahmir, P-Lo [prod.",2024-01-28 01:17:50.757101
/watch?v=-n_A72kTYOw&pp=ygUIYmF5IGFyZWE%3D,/channel/UC2rdCWnU8fmFxdgeYXkbbIw,Berner415,Goldtoes Presents Bay Area Flavors - Too Short Ft Jenny69 x J-Diggs & Berner (Official Music Video),150K,3 weeks,"GOLDTOES Presents Bay Area Flavors Too Short Ft Jenny69 , J-Diggs & Berner Instagram - @goldtoes GT DIGITAL ...",2024-01-28 01:17:50.759301
/watch?v=rfJOgbG_W-k&pp=ygUIYmF5IGFyZWE%3D,/@abc7news,ABC7 News Bay Area,Video shows 2-year-old wandering Bay Area street after carjacking suspect leaves him - EXCLUSIVE,43K,2 days,ABC7 News obtained exclusive video showing the Oakland carjacking suspect pulling the child out of the car and abandoning ...,2024-01-28 01:17:50.761412
/watch?v=KWrLj0f4Dgc&pp=ygUIYmF5IGFyZWE%3D,/@VanDeGraph,VanDeGraph,"The Difference between San Francisco, Silicon Valley, and the Bay Area Explained",519K,7 years,What is the difference between Silicon Valley and the San Francisco Bay Area? Is San Francisco a city or a county? Where in the ...,2024-01-28 01:17:50.766925
/watch?v=oxh-iAEGUY8&pp=ygUIYmF5IGFyZWE%3D,/@Buggs,Bay Area Buggs,The Wrong Place at The Right Time in OCRP!,280K,4 days,"Join @CivRyan, @jfavignano and myself in OCRP as I get help from a random civilian during the pursuit getaway challenge!",2024-01-28 01:17:50.769714
/watch?v=HMPIcYRb30o&pp=ygUIYmF5IGFyZWE%3D,/@BeatTheBush,BeatTheBush,Why the Bay Area Sucks so Bad,60K,1 year,"Since I have been living here for almost 27 years in total, I have seen dramatic changes in quality of life. Most of this happened the ...",2024-01-28 01:17:50.772351
/watch?v=HKIECMOg7a0&pp=ygUIYmF5IGFyZWE%3D,/@Buggs,Bay Area Buggs,Shopping Cart Chaos in OCRP!,322K,2 weeks,Join @CivRyan & myself in OCRP as we use shopping carts as projectiles against the police! ▻Merch▻ https://buggsmerch.com ...,2024-01-28 01:17:50.774734
/watch?v=4hapJ9RAcXE&pp=ygUIYmF5IGFyZWE%3D,/@NBCBayArea,NBC Bay Area,Bay Area tech layoffs continue despite overall economy getting AI-related boost,62K,2 days,"It's been a brutal January for many tech workers in the Bay Area, even as our overall economy gets a big AI-related boost.",2024-01-28 01:17:50.777385
/watch?v=wRSYrW3otPk&pp=ygUIYmF5IGFyZWE%3D,/@feedmeimei,feed meimei,TOP 10 CHEAP EATS in the SOUTH BAY AREA! Food Tour Under $12 💸,185K,2 months,Today I am showing you the TOP 10 CHEAP EATS in the SOUTH BAY AREA! We are going on a full food tour where everything ...,2024-01-28 01:17:50.779964
/watch?v=L296YgwzbKc&pp=ygUIYmF5IGFyZWE%3D,/@cbssf,KPIX | CBS NEWS BAY AREA,"Lions, 49ers fans from far and wide head to Bay Area on championship weekend",15K,22 hours,Bay Area bars are gearing up for a big weekend with plenty of Detroit fans as well as Niner Faithful looking for a big screen and a ...,2024-01-28 01:17:50.782497
/watch?v=xBBvt9yLcMY&pp=ygUIYmF5IGFyZWE%3D,/@cbssf,KPIX | CBS NEWS BAY AREA,Continued tech layoffs take toll on Bay Area workforce,15K,1 day,Jose Martinez spoke with a tech worker who lost her job in a previous layoff cycle to learn how her view of the industry and her life ...,2024-01-28 01:17:50.784788
/watch?v=SY77boBzG4Q&pp=ygUIYmF5IGFyZWE%3D,/@NBCBayArea,NBC Bay Area,"Bay Area Forecast: Mild weekend, storm ahead",3.1K,4 hours,"Weekend stays dry, and temperatures go up on Sunday for 49ers at Levi's Stadium. Stormy weather returns next week. Cinthia ...",2024-01-28 01:17:50.787552
/watch?v=HKvfVtBKOMs&pp=ygUIYmF5IGFyZWE%3D,/@yearup,Year Up,Year Up Bay Area Winter 2024 Graduation,471,6 hours,Join us in celebrating the Year Up Bay Area Class of Winter 2024!,2024-01-28 01:17:50.790062
/watch?v=1VL1zytRfSw&pp=ygUIYmF5IGFyZWE%3D,/@NBCBayArea,NBC Bay Area,Is homelessness getting worse in the Bay Area?,23K,1 day,"Is homelessness getting worse in the Bay Area? This week, volunteers have been going out, counting as many homeless as they ...",2024-01-28 01:18:01.733786
/watch?v=D-I2DJeMjx4&pp=ygUIYmF5IGFyZWE%3D,/@NBCBayArea,NBC Bay Area,Bay Area rent tracker says 2024 could be the ‘year of the renter',17K,1 day,"Bay Area rent prices are, if not going down, at least holding steady. Scott Budman reports. Stay connected: Follow us on Twitter: ...",2024-01-28 01:18:01.735259
/shorts/tD-Mg-R6wpQ,/@NBCSAuthentic,NBC Sports Bay Area & California,Chase Young’s family we’re not very pleased with this 49ers fan. 😒 | NBC Sports Bay Area,1.6M,1 month,SanFrancisco #49ers #NFL #Football #ChaseYoung #Family #Annoying #Fans #Rude #Shorts #Like #Subscribe #Follow ...,2024-01-28 01:18:01.736724
/watch?v=ApOdfPQRFRk&pp=ygUIYmF5IGFyZWE%3D,/@kron4tv,KRON 4,"San Francisco Bay Area January 27, 2024",490,9 hours,KRON4's meteorologist Dave Spahr forecasts the weather.,2024-01-28 01:18:01.742756
/watch?v=0u7KDGSLLjA&pp=ygUIYmF5IGFyZWE%3D,/@NBCBayArea,NBC Bay Area,Bay Area forecast: Tracking showers,13K,1 day,Chief Meteorologist Jeff Ranieri tracks an atmospheric river just north in your Microclimate Forecast. Stay connected: Follow us on ...,2024-01-28 01:18:01.744286
/watch?v=PL--5PJsTKU&pp=ygUIYmF5IGFyZWE%3D,/@VICE,VICE,Drifting Cars In The Bay Area | High Octane,310K,2 years,"After several episodes exploring the underground car scenes across the U.S., VICE finally heads to the birthplace of sideshow ...",2024-01-28 01:18:01.745569
/watch?v=NrJEwifYMzM&pp=ygUIYmF5IGFyZWE%3D,/@JenCogenHomes,Jen Cogen Homes,Where's the best place to live in the SF Bay Area?,48K,3 years,"The San Francisco Bay Area is a big place with millions of people and very distinct areas, this will give you an overview.",2024-01-28 01:18:01.747276
/watch?v=R-Tbl7OXtvc&pp=ygUIYmF5IGFyZWE%3D,/@RMTransit,RMTransit,The Space Age Metro System | Bay Area Rapid Transit (BART),114K,1 year,"A huge shoutout to John FitzGibbon for providing the BART footage used in this video! As always, leave a comment down below if ...",2024-01-28 01:18:01.748625
/shorts/xBoS71NlB2c,/@CollegeVine,CollegeVine,How Berkeley students can afford rent in the Bay Area #shorts,36K,1 year,ucberkeley #bayarea #ucschools #collegeapps #applyingtocollege #housingmarket #collegestudent.,2024-01-28 01:18:01.750229
